Vessel,Days,horus,1176,1152,1128,1104,1080,1056,1032,1008,984,960,936,912,888,864,840,816,792,768,744,720,696,672,648,624,600,576,552,528,504,480,456,432,408,384,360,336,312,288,264,240,216,192,168,144,120,96,72,48,24,
5:18D,44,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,-0.9,-0.9,-0.9,-0.7,-0.1,1.8,7.9,23.2,23.7,24,,,,,11
5:19D,31,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-1.1,-1,-0.9,-0.9,-1.1,-0.9,0.1,3.1,15.1,22,,,,,11
7:01B,19,456,,,,-1.2,-1.3,-1.2,-1,-1,-1,-0.6,-0.5,-0.4,-0.2,-0.1,0.2,0.3,0.5,0.6,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
7:03B,11,264,,,,,,,,,,,,,,,,,,,,,,,-0.6,0.3,0.8,1.7,2.7,3.4,4.5,5.3,6.8,8,9.1,10.5,14.6,16.5,18.4,,,,,,,,,,,,,15
7:04B,32,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,22.6,,,,,,,,,,,,,,,,,2
7:07F,30,720,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.8,-0.8,,0.1,,,8.5,20.1,,,,,,,,,,,,,,,,,,,6
7:07F,0,0,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7:07F,38,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-0.9,0.4,1.9,6.6,13.6,,,6
7:08F,37,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8.9,18.4,22.5,23.4,23.4,,,,,,,,,,,,6
7:09F,35,840,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,,,1.7,3.3,3.1,5.4,7.8,10.6,15.7,20.8,21.9,21.5,18.7,,,,,,,,,,12
7:10F,33,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-1.2,19.3,21.2,22.6,,,,,,,,,,,,,,,,5
7:10F,49,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-1,-1,-0.6,1.5,6.4,13.5,,,7
7:11F,42,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-0.7,-0.8,-0.7,-0.7,-0.8,-0.7,-0.4,-0.3,0.3,3.5,8.3,22.8,23,,,,,,,14
7:12F,38,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,-1,-0.2,1.9,5.5,10.1,16.8,22.1,22.5,19.6,,,,,,,,,,,10
8:02F,30,720,,,,,,,,,,,,,-0.8,,,-0.8,-0.8,-0.3,-0.8,-0.8,,-0.7,-0.6,-0.5,0,,13.6,,,22.9,23,23.6,23.6,,,,,,,,,,,,,,,,,15
8:04F,43,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-1.2,-1.3,-0.4,-1.1,-0.5,17,5.1,9.9,13,23.5,23.5,23.4,,,,,,13
8:05F,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-1.3,-1,-0.7,0.1,1.9,4.9,8.6,13.5,19.7,10
8:06F,32,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,22.5,22.7,23,,,,,,,,,,,,,,,,4
8:06F,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-0.9,-0.2,0.3,1.5,3.6,6.4,9.4,13.1,18.2,10
8:06F,18,432,,,,,,,,,-1.1,-1.1,-1,-1,-1,,,-0.5,-0.5,1,6.6,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
8:07F,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,0.4,2.3,3.5,5.5,9,12.3,14.4,17.7,21.3,10
8:08F,55,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,-1.5,-1.4,-1.4,-1.4,,-1.2,-1.3,-0.9,,8
8:12F,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-0.9,,,,,,,,,,,,,,,,2
8:16F,21,504,,,,,,,,,,,,,,,,,,,,,,,-1.2,-1.2,-1.2,-0.7,-0.6,-0.2,0.2,0.6,1,1.9,2.7,3.7,4.5,5.2,6.5,7.5,8.6,10,11.4,13.1,15,16.9,17.4,20.6,21.1,,,25
10:02A,22,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-0.5,0.8,1.1,3.1,3.9,6.7,7.8,9.7,12.3,10
10:03A,22,528,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-1.1,-0.8,-0.1,0.4,1.3,1.5,2.7,3.9,5.4,7.7,9.4,12.1,13.8,16.8,19,21,22,22.1,,,,,,,,19
10:05A,28,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,1
